"utc","working_set_bytes","peak_working_set_bytes","private_memory_bytes"
"2026-07-21T07:29:27.9180093Z","301613056","301613056","431669248"
"2026-07-21T07:29:28.0285727Z","301621248","301621248","431669248"
"2026-07-21T07:29:28.1522470Z","301625344","301625344","431669248"
"2026-07-21T07:29:28.2603725Z","301629440","301629440","431669248"
"2026-07-21T07:29:28.3863566Z","301633536","301633536","431669248"
"2026-07-21T07:29:28.5166885Z","301637632","301637632","431669248"
"2026-07-21T07:29:28.6368650Z","301637632","301637632","431669248"
"2026-07-21T07:29:28.7455325Z","301641728","301641728","431669248"
"2026-07-21T07:29:28.8707751Z","301641728","301641728","431669248"
"2026-07-21T07:29:28.9819554Z","301641728","301641728","431669248"
"2026-07-21T07:29:29.1048621Z","301645824","301645824","431669248"
"2026-07-21T07:29:29.2288026Z","301645824","301645824","431669248"
"2026-07-21T07:29:29.3378631Z","301649920","301649920","431669248"
"2026-07-21T07:29:29.4471654Z","301654016","301654016","431669248"
"2026-07-21T07:29:29.5577289Z","301654016","301654016","431669248"
"2026-07-21T07:29:29.6675120Z","301658112","301658112","431669248"
"2026-07-21T07:29:29.7783517Z","301658112","301658112","431669248"
"2026-07-21T07:29:29.9054688Z","301658112","301658112","431669248"
"2026-07-21T07:29:30.0320301Z","301666304","301666304","431669248"
"2026-07-21T07:29:30.1430329Z","301670400","301670400","431669248"
"2026-07-21T07:29:30.2530072Z","301674496","301674496","431669248"
"2026-07-21T07:29:30.3616671Z","301682688","301682688","431669248"
"2026-07-21T07:29:30.4714855Z","301682688","301682688","431669248"
"2026-07-21T07:29:30.5818135Z","301682688","301682688","431669248"
"2026-07-21T07:29:30.6920053Z","301682688","301682688","431669248"
"2026-07-21T07:29:30.8016323Z","301682688","301682688","431669248"
"2026-07-21T07:29:30.9127048Z","301686784","301686784","431669248"
"2026-07-21T07:29:31.0231705Z","301694976","301694976","431669248"
"2026-07-21T07:29:31.1349278Z","301678592","301694976","431628288"
"2026-07-21T07:29:31.2455824Z","301678592","301694976","431628288"
"2026-07-21T07:29:31.3566697Z","301678592","301694976","431628288"
"2026-07-21T07:29:31.4827246Z","301682688","301694976","431628288"
"2026-07-21T07:29:31.6063527Z","301682688","301694976","431628288"
"2026-07-21T07:29:31.7163902Z","301682688","301694976","431628288"
"2026-07-21T07:29:31.8275493Z","301694976","301694976","431628288"
"2026-07-21T07:29:31.9393341Z","301694976","301694976","431628288"
"2026-07-21T07:29:32.0625452Z","301699072","301699072","431628288"
"2026-07-21T07:29:32.1879891Z","301699072","301699072","431628288"
